x,y,z
-4.5005043029785163,-6.8062149047851577,0.20000000000000001
-4.4655626123684229,-6.7612898740007523,0.20000000000000001
-4.4306209217583312,-6.716364843216347,0.20000000000000001
-4.3956792311482378,-6.6714398124319416,0.20000000000000001
-4.3607375405381443,-6.6265147816475363,0.20000000000000001
-4.3257958499280509,-6.5815897508631309,0.20000000000000001
-4.2908541593179592,-6.5366647200787256,0.20000000000000001
-4.2559124687078658,-6.4917396892943202,0.20000000000000001
-4.2209707780977723,-6.4468146585099149,0.20000000000000001
-4.1860290874876789,-6.4018896277255095,0.20000000000000001
-4.1510873968775872,-6.3569645969411042,0.20000000000000001
-4.1161457062674938,-6.3120395661566988,0.20000000000000001
-4.0812040156574003,-6.2671145353722935,0.20000000000000001
-4.0462623250473069,-6.2221895045878881,0.20000000000000001
-4.0113206344372152,-6.1772644738034828,0.20000000000000001
-3.9763789438271218,-6.1323394430190774,0.20000000000000001
-3.9414372532170283,-6.0874144122346721,0.20000000000000001
-3.9064955626069349,-6.0424893814502685,0.20000000000000001
-3.8715538719968432,-5.9975643506658631,0.20000000000000001
-3.8366121813867498,-5.9526393198814578,0.20000000000000001
-3.8016704907766563,-5.9077142890970524,0.20000000000000001
-3.7656671798192924,-5.863636198701661,0.20000000000000001
-3.7296272136357373,-5.8195873511439835,0.20000000000000001
-3.693587247452184,-5.775538503586306,0.20000000000000001
-3.6575472812686289,-5.7314896560286286,0.20000000000000001
-3.6215073150850756,-5.6874408084709511,0.20000000000000001
-3.5854673489015223,-5.6433919609132737,0.20000000000000001
-3.5494273827179672,-5.599343113355598,0.20000000000000001
-3.5133874165344121,-5.5552942657979205,0.20000000000000001
-3.4773474503508588,-5.5112454182402431,0.20000000000000001
-3.4413074841673055,-5.4671965706825656,0.20000000000000001
-3.4052675179837504,-5.4231477231248881,0.20000000000000001
-3.3692275518001971,-5.3790988755672107,0.20000000000000001
-3.333187585616642,-5.3350500280095332,0.20000000000000001
-3.2971476194330886,-5.2910011804518557,0.20000000000000001
-3.2611076532495336,-5.2469523328941783,0.20000000000000001
-3.2250676870659802,-5.2029034853365008,0.20000000000000001
-3.1890277208824251,-5.1588546377788234,0.20000000000000001
-3.1529877546988718,-5.1148057902211477,0.20000000000000001
-3.1169477885153167,-5.0707569426634702,0.20000000000000001
-3.0809078223317634,-5.0267080951057928,0.20000000000000001
-3.0448678561482083,-4.9826592475481153,0.20000000000000001
-3.008827889964655,-4.9386103999904378,0.20000000000000001
-2.9727879237810999,-4.8945615524327604,0.20000000000000001
-2.9367479575975466,-4.8505127048750829,0.20000000000000001
-2.9007079914139915,-4.8064638573174054,0.20000000000000001
-2.8826082989355015,-4.7525268926561139,0.20000000000000001
-2.8646105764860597,-4.6985337253077901,0.20000000000000001
-2.8466128540366178,-4.6445405579594663,0.20000000000000001
-2.8286151315871777,-4.5905473906111407,0.20000000000000001
-2.8106174091377358,-4.5365542232628187,0.20000000000000001
-2.792619686688294,-4.4825610559144948,0.20000000000000001
-2.7746219642388539,-4.428567888566171,0.20000000000000001
-2.756624241789412,-4.3745747212178472,0.20000000000000001
-2.7386265193399719,-4.3205815538695234,0.20000000000000001
-2.7206287968905301,-4.2665883865211995,0.20000000000000001
-2.7026310744410882,-4.2125952191728739,0.20000000000000001
-2.6846333519916481,-4.1586020518245519,0.20000000000000001
-2.6666356295422062,-4.1046088844762263,0.20000000000000001
-2.6486379070927644,-4.0506157171279042,0.20000000000000001
-2.6306401846433243,-3.9966225497795804,0.20000000000000001
-2.6126424621938824,-3.9426293824312566,0.20000000000000001
-2.6041382498312515,-3.8880451705214778,0.20000000000000001
-2.6152999634673844,-3.8322366023408101,0.20000000000000001
-2.626461677103519,-3.7764280341601442,0.20000000000000001
-2.6376233907396518,-3.7206194659794765,0.20000000000000001
-2.6487851043757846,-3.6648108977988088,0.20000000000000001
-2.6599468180119192,-3.609002329618141,0.20000000000000001
-2.6711085316480521,-3.5531937614374751,0.20000000000000001
-2.6822702452841849,-3.4973851932568074,0.20000000000000001
-2.6934319589203195,-3.4415766250761397,0.20000000000000001
-2.7045936725564523,-3.3857680568954738,0.20000000000000001
-2.7157553861925852,-3.3299594887148061,0.20000000000000001
-2.726917099828718,-3.2741509205341384,0.20000000000000001
-2.7380788134648526,-3.2183423523534707,0.20000000000000001
-2.7492405271009854,-3.1625337841728047,0.20000000000000001
-2.7604022407371183,-3.106725215992137,0.20000000000000001
-2.7715639543732529,-3.0509166478114711,0.20000000000000001
-2.7827256680093857,-2.9951080796308034,0.20000000000000001
-2.7938873816455185,-2.9392995114501357,0.20000000000000001
-2.7984062289904532,-2.8831360909164658,0.20000000000000001
-2.7932534960424551,-2.8264560284885007,0.20000000000000001
-2.7881007630944588,-2.7697759660605374,0.20000000000000001
-2.7829480301464624,-2.7130959036325741,0.20000000000000001
-2.7777952971984661,-2.6564158412046091,0.20000000000000001
-2.7726425642504697,-2.5997357787766475,0.20000000000000001
-2.7674898313024716,-2.5430557163486824,0.20000000000000001
-2.7623370983544753,-2.4863756539207191,0.20000000000000001
-2.7571843654064789,-2.4296955914927558,0.20000000000000001
-2.7520316324584826,-2.3730155290647907,0.20000000000000001
-2.7468788995104862,-2.3163354666368292,0.20000000000000001
-2.7417261665624899,-2.2596554042088641,0.20000000000000001
-2.7365734336144918,-2.2029753417809008,0.20000000000000001
-2.7314207006664954,-2.1462952793529375,0.20000000000000001
-2.7262679677184991,-2.0896152169249742,0.20000000000000001
-2.7211152347705028,-2.0329351544970109,0.20000000000000001
-2.7159625018225064,-1.9762550920690458,0.20000000000000001
-2.7108097688745083,-1.9195750296410825,0.20000000000000001
-2.705657035926512,-1.8628949672131192,0.20000000000000001
-2.7005043029785156,-1.8062149047851559,0.20000000000000001
